Unnamed: 0,Title,Poem,Poet,Tags,location,year
2,"

                    Look for Me

                ","

Look for me under the hood

of that old Chevrolet settled in weeds

at the end of the pasture.

I'm the radiator that spent its years

bolted in front of an engine

shoving me forward into the wind.

Whatever was in me in those days

has mostly leaked away,

but my cap's still screwed on tight

and I know the names of all these

tattered moths and broken grasshoppers

the rest of you've forgotten.

",Ted Kooser,,Iowa,1959
4,"

                    Umbrella

                ","

When I push your button

you fly off the handle,

old skin and bones,

black bat wing.

We're alike, you and I.

Both of us

resemble my mother,

so fierce in her advocacy

on behalf of

the most vulnerable child

who'll catch his death

in this tempest.

Such a headwind!

Sometimes it requires

all my strength

just to end a line.

But when the wind is at

my back, we're likely

to get carried away, and say

something we can never retract,

something saturated from the ribs

down, an old stony

word like ruin. You're what roof

I have, frail thing,

you're my argument

against the whole sky.

You're the fundamental difference

between wet and dry.

",Connie Wanek,,Wisconsin,1972
8,"

                    The One Thing That Can Save America

                ","

Is anything central?

Orchards flung out on the land,

Urban forests, rustic plantations, knee-high hills?

Are place names central?

Elm Grove, Adcock Corner, Story Book Farm?

As they concur with a rush at eye level

Beating themselves into eyes which have had enough

Thank you, no more thank you.

And they come on like scenery mingled with darkness

The damp plains, overgrown suburbs,

Places of known civic pride, of civil obscurity.

 

These are connected to my version of America

But the juice is elsewhere.

This morning as I walked out of your room

After breakfast crosshatched with

Backward and forward glances, backward into light,

Forward into unfamiliar light,

Was it our doing, and was it

The material, the lumber of life, or of lives

We were measuring, counting?

A mood soon to be forgotten

In crossed girders of light, cool downtown shadow

In this morning that has seized us again?

 

I know that I braid too much on my own

Snapped-off perceptions of things as they come to me.

They are private and always will be.

Where then are the private turns of event

Destined to bloom later like golden chimes

Released over a city from a highest tower?

The quirky things that happen to me, and I tell you,

And you know instantly what I mean?

What remote orchard reached by winding roads

Hides them? Where are these roots?

 

It is the lumps and trials

That tell us whether we shall be known

And whether our fate can be exemplary, like a star.

All the rest is waiting

For a letter that never arrives,

Day after day, the exasperation

Until finally you have ripped it open not knowing what it is,

The two envelope halves lying on a plate.

The message was wise, and seemingly

Dictated a long time ago, but its time has still

Not arrived, telling of danger, and the mostly limited

Steps that can be taken against danger

Now and in the future, in cool yards,

In quiet small houses in the country,

Our country, in fenced areas, in cool shady streets.

",John Ashbery,,New York,1947
9,"

                    [""Hour in which I consider hydrangea""]

                ","

Hour in which I consider hydrangea, a salt or sand plant, varietal, the question of varietals, the diet of every mother I know, 5 pounds feels like 20, I have lost … I have lost, yes, a sense of my own possible beauty, grown external, I externalize beauty. Beauty occurs on the surface of plants; the sun darkens the skin of my child, he is so small, he is beautiful (I can see; it is obvious) and everything about him is beautiful. His hand swells from the bite [spread?] of some insect[’s] venom because he is small. He appears to feel nothing. He smashes his skull against the floor. He screams. I hold him in my lap on the kitchen floor in front of an open freezer, pressing a pack of frozen clay against his forehead. He likes the cold. I see; it is so obvious. Hydrangea. When I move, when I walk pushing my child’s stroller (it is both walking and pushing or hauling, sometimes, also, lifting; it is having another body, an adjunct body composed of errand and weight and tenderness and no small amount of power), I imagine I can feel this small amount of weight, this 5 pounds like 20, interfering with the twitch of every muscle in my body. As an object, a mother is confusing, a middle-aged mother with little spare flesh, I feel every inch of major muscle pulling against gravity and against the weight of my child, now sleeping. This is the hour for thinking hydrangea. Let no man look at me. I stop to brush the drowsy child’s little eye. His face. He barely considers his mother. I am all around him. Why should he consider what is all around him? Perhaps what is missing is a subtle power of differentiation. I am in, therefore, a time of mass apprehensions.

",Simone White,"Living,Parenthood,The Body,The Mind,Nature,Trees & Flowers",Connecticut,1992
10,"

                    Stung

                ","

She couldn't help but sting my finger,

clinging a moment before I flung her

to the ground. Her gold is true, not the trick

evening light plays on my roses.

She curls into herself, stinger twitching,

gilt wings folded. Her whole life just a few weeks,

and my pain subsided in a moment.

In the cold, she hardly had her wits to buzz.

No warning from either of us:

she sleeping in the richness of those petals,

then the hand, my hand, cupping the bloom

in devastating force, crushing the petals for the scent.

And she mortally threatened, wholly unaware

that I do this daily, alone with the gold last light,

in what seems to me an act of love.

",Heid E. Erdrich,,Minnesota,1983
11,"

                    Nothing But Good...

                ","

I will not speak ill of Jack Flick.

I will rarely look

at the scar he made on my cheek

one summer at the lake.

I won't speak ill of Jack whose freckles

and gangly legs are gone.

So is the drained face I saw when he saw

what he'd done with a sharp rock

nonchalantly skipped.

I will speak well, for it was somewhat

sweet to lie on the dock while Jack

and his friends bent down

and wiped my face with a sandy towel.

I will speak well of them,

for most are gone

and the wound proved small.

I will speak well, for the rock

missed my eye. I can hardly find

the scar. Jack went into the air

corps, fought in one of the wars,

retired, and lived less than a year

before his tender heart gave out.

I will speak well of Jack.

",Sarah White,,New Hampshire,2031
18,"

                    West of Myself

                ","

Why are you still seventeen

and drifting like a dog after dark,

dragging a shadow you’ve found?

 

Put it back where it belongs,

and that bend of river, too. That’s not the road

you want, though you have it to yourself.

 

Gone are the cars that crawl to town

from the reactors, a parade of insects, metallic,

fuming along the one four-lane street.

 

The poplars of the shelterbelt lean away

from the bypass that never had much to pass by

but coyote and rabbitbrush.

 

Pinpricks stabbed in a map too dark to read—

I stared at stars light-years away.

Listen. That hissing? Just a sprinkler

 

damping down yesterday until it’s today.

The cottonwoods shiver, or I do,

every leaf rustling as if it’s the one

 

about to tear itself, not I.

Memory takes the graveyard shift.

 

",Debora Greger,Coming of Age,Massachusetts,1791
19,"

                    Yes

                ","







Yes, your childhood now a legend of fountains

                                                         —jorge gullén







Yes, your childhood, now a legend

gone to weeds, still remembers the gray road

that set out to cross the desert of the future.

 

And how, always just ahead,

gray water glittered, happy to be just a mirage.

Who steps off the gray bus at the depot?

 

Sidewalks shudder all the way home.

Blinds close their scratchy eyes.

Who settles in your old room?

 

Sniffy air sprawls as if it owns the place,

and now your teenage secrets have no one to tell.

For the spider laying claim to the corner,

 

there is a stickiness to spin, that the living may beg

to be wrapped in silk and devoured,

leaving not even the flinch from memory.

",Debora Greger,"Coming of Age,Youth",Massachusetts,1791
20,"

                    Bounden Duty

                ","

               I got a call from the White House, from the

President himself, asking me if I’d do him a personal

favor. I like the President, so I said, “Sure, Mr.

President, anything you like.” He said, “Just act

like nothing’s going on. Act normal. That would

mean the world to me. Can you do that, Leon?” “Why,

sure, Mr. President, you’ve got it. Normal, that’s

how I’m going to act. I won’t let on, even if I’m

tortured,” I said, immediately regretting that “tortured”

bit. He thanked me several times and hung up. I was

dying to tell someone that the President himself called

me, but I knew I couldn’t. The sudden pressure to

act normal was killing me. And what was going on

anyway. I didn’t know anything was going on. I

saw the President on TV yesterday. He was shaking

hands with a farmer. What if it wasn’t really a

farmer? I needed to buy some milk, but suddenly

I was afraid to go out. I checked what I had on.

I looked “normal” to me, but maybe I looked more

like I was trying to be normal. That’s pretty

suspicious. I opened the door and looked around.

What was going on? There was a car parked in front

of my car that I had never seen before, a car that

was trying to look normal, but I wasn’t fooled.

If you need milk, you have to get milk, otherwise

people will think something’s going on. I got into

my car and sped down the road. I could feel those

little radar guns popping behind every tree and bush,

but, apparently, they were under orders not to stop

me. I ran into Kirsten in the store. “Hey, what’s

going on, Leon?” she said. She had a very nice smile.

I hated to lie to her. “Nothing’s going on. Just

getting milk for my cat,” I said. “I didn’t know

you had a cat,” she said. “I meant to say coffee.

You’re right, I don’t have a cat. Sometimes I

refer to my coffee as my cat. It’s just a private

joke. Sorry,” I said. “Are you all right?” she

asked. “Nothing’s going on, Kirsten. I promise

you. Everything is normal. The President shook

hands with a farmer, a real farmer. Is that such

a big deal?” I said. “I saw that,” she said, “and

that man was definitely not a farmer.” “Yeah, I

know,” I said, feeling better.

 

",James Tate,"Humor & Satire,History & Politics",Missouri,1963
21,"

                    History

                ","

Of course wars, of course lice, of course limbs on opposing sides

to remind a body about ambivalence, of course orphans and empty beds and eyes

exiled for blinking in the harsh light. Of course Khrushchev gave Crimea

to the Ukraine in a blind drunk, and yes, land mines and burning skin

and of course organs, some members dismembered

to shake at strangers and their evil, and there is no way

to imagine that a man shaking a dried penis would ever utter the word darling.

Of course personal, add starch for pain, add bluing, of course hang

the laundry in the basement, there are thieves in the backyard, of course

departing trains, carload after carload of sorrow,

the man on top of a boxcar waving,

his rifle silhouetted against the white sky, its color draining

the way warmth left the Bosnian after he’d burned the last page of the last book,

knowing he had reached the end of something though it was not end enough.

Of course kisses, the stages of kissing like running borders,

endless conversations, stations of the cross, till even the promise of kissing bores you,

of course teeth gnashing, ethnic cleansing. The cynical will shrug off the past,

the future, the whole left hip of Ecuador slashed for six days of oil,

of course an X on the coats of the sick so they would stand apart

for deportation, of course rogue tumors over the body politic,

the same bodies that took Egyptian mummies and powdered them

to use as food seasoning, bon vivant cannibalism,

and yes civilized men tossed living penguins into furnaces to fuel their ships.

Of course partitions so that after the new territories were defined,

families had to line up on a cliff with bullhorns

to talk to their people on the other side,

of course courage, at times a weapon against yearning, surrender another,

a mother of course goes on setting the table, even if it’s with broken plates,

and a friend will say gently of course I want to ride with you to the funeral,

of course of course of course of course,

now then, negotiations, whatever,

palisades, the end of whimsy,

but then one evening though it is wartime,

a man climbs the hill to an amphitheater to play his cello at twilight

and history stops talking for a moment and sighs

while the melancholy of Albinoni

passes from heart to heart and each lifts a little,

the way passing a baby around a room can be sacramental,

and the memories of simple pleasures become more beautiful, the memory

of your joy on a highway to see in the next lane in a neighboring car

a clown take off his nose at the end of the day, the memory

of how your mother laid roses, sweetheart roses, on the cold grate of the fireplace,

and the sudden rain one afternoon in fall after you’d hiked far into the dells

and you huddled deep in your overcoat in the wet,

waiting out the storm with a sheep

that had come up to lean against your side

like a rock.

 

",Barbara Ras,"History & Politics,War & Conflict",Massachusetts,1969
